	inst	cnt	len
298	英商 WILLIAM GRANT & SONS INVESTMENTS LIMITED	6	43
299	CENTRO INTERNATIONAL CAPITAL INC.	6	33
300	日商 NTT  DATA  CORPORATION	6	25
301	日商瑪露瑪運輸株式會社	6	11
302	財團法人中興工程顧問社	6	11
303	日東精工株式會社	6	8
304	日商 NITTA　(　　　） 株式會社	6	19
305	輔仁大學學校財團法人輔仁大學	6	14
306	TOYO HYMOLD INTERNATIONAL PTE,LTD.(東洋合茂國際有限公司)	6	46
307	日商株式會社HOKUETSU	6	14
308	Ebi Asia Pacific Pte. Ltd	6	25
309	日商株式會社思夢樂	6	9
310	英屬維京群島商富森國際行銷有限公司	6	17
311	英屬維京群島商Shankara Global Limited	6	30
312	薩摩亞商增光國際集團有限公司	6	14
313	薩摩亞商元達集團控股股份有限公司	6	16
314	日商美錄德株式會社	6	9
315	法商Air Liquide國際公司	6	17
316	英屬開曼群島商 Aidmics Biotechnology (Cayman) Co.,Ltd.	6	47
317	英屬開曼群島商 iXensor Inc.	6	20
318	澳大利亞商Freestyle Technology Pty	6	29
319	日商株式會社荏原製作所	6	11
320	香港商RENISHAW (HONG KONG) LIMITED	6	31
321	英商Environmental Resources Management Limiteed	6	45
322	BlackRock HK Holdco Limited	6	27
323	ALSTOM B.V.(荷蘭商艾斯敦股份有限公司)	6	25
324	新加坡商大華資產管理有限公司UOB Asset Management Ltd.	6	39
325	日商株式會社東販	6	8
326	英屬開曼群島商 MedicusTek International INC.	6	37
327	財團法人沈春池文教基金會	6	12
328	日商株式會社良品計　	6	10
329	日商 Erina Co. Inc.	6	17
330	日商双日株式會社	6	8
331	財團法人「張老師」基金會	6	12
332	英商海名斯控股有限公司	6	11
333	精密聚合化學株式會社	6	10
334	TOKUSHU KINZOKU EXCEL CO.,LTD.	6	30
335	日商優乃克株式會社	6	9
336	英屬維京群島商連鎖投資有限公司	6	15
337	加拿大商天馬藥業集團股份有限公司	6	16
338	大陸商常州蘇晶電子材料有限公司	6	15
339	英商香港上海滙豐亞洲太平洋控股股份有限公司	6	21
340	日商株式會社ソデイツワ（SODICK CO., LTD.）	6	29
341	日商株式會社東海理化電機製作所	6	15
342	Collaborate  Service Solution Inc.	6	34
343	英屬維京群島商	6	7
344	日商˙　　　　　　　　株式會社	6	15
345	日本電產サソキョー株式會社	6	13
346	日商株式會社荏原エ■■■■	6	13
347	英屬維京群島商 I-HEALTH  MANAGEMAENT  CORP.	6	36
348	日商三越伊勢丹股份有限公司	6	13
349	東京海上亞洲股份有限公司	6	12
350	BenQ BM Holding Corp. (馬來西亞商明基比牧控股股份有限公司)	6	41
351	日商株式會社安露莎本社	6	11
352	日商阿爾卑斯技研株式會社	6	12
353	日商　　　　工業株式會社	6	12
354	日商KUBOTA KASUI CORPORATION	6	26
355	日商株式會社大林組	6	9
356	日商興和株式會社	6	8
357	薩摩亞商歡愉集團有限公司	6	12
358	巴哈馬商 World Diversity Limited	6	28
359	美商美國運通國際公司	6	10
360	日商株式會社克普典	6	9
361	日商 THK 株式會社	6	11
362	英屬開曼群島商Theia Medical Technology Co., Ltd.	6	41
363	東■■‧■■■■株式會社	6	12
364	美商 ALLIANCEBERNSTEIN L.P.	6	25
365	英屬維京群島商GTS SPORTING, INC.	6	25
366	日商象印魔法瓶株式會社	6	11
367	日商 KOEI  TECMO  HOLDINGS CO., LTD.	6	34
368	日商田村株式會社	6	8
369	日商 NIKKEI PANEL SYSTEM CO., LTD	6	31
370	嘉義縣農會	6	5
371	英屬維京群島商 ORBWEB  INC.	6	20
372	英屬蓋曼群島商 Components Agent (Cayman) Limited	6	41
373	薩摩亞商 INTERCHAN GLOBAL LIMITED	6	29
374	日商岡崎精工株式會社	6	10
375	美商 Lamdagen Corporation	6	23
376	日商株式會社幸榮公司	6	10
377	新加坡商AGC SINGAPORE SERVICES PTE., LTD.	6	37
